IP,延迟(ms),丢包率(%),速度(Mbps)
104.19.206.9,12.98,0.00,75.86
162.159.129.233,12.74,0.00,79.77
104.17.146.51,13.12,0.00,83.71
104.17.9.129,12.86,0.00,83.39
190.93.244.253,12.74,0.00,73.07
172.65.2.201,13.40,0.00,78.89
198.41.215.133,13.12,0.00,83.89
104.26.14.228,12.86,0.00,86.45
104.20.197.95,12.86,0.00,87.66
104.23.110.240,12.74,0.00,88.46
104.27.109.233,12.65,0.00,87.02
172.64.92.129,13.18,0.00,88.97
104.16.98.116,14.13,0.00,83.48
104.16.201.29,13.16,0.00,98.57
